Region,Year,IndustryCode,IndustryDescription,Ratio
E12000001 : North East,2010,4764,Retail sale of sporting equipment in specialised stores,0.0088248363760468
E12000001 : North East,2011,4764,Retail sale of sporting equipment in specialised stores,0.0082609955190796
E12000001 : North East,2012,4764,Retail sale of sporting equipment in specialised stores,0.0253084168794543
E12000001 : North East,2013,4764,Retail sale of sporting equipment in specialised stores,0.0271627505434267
E12000001 : North East,2014,4764,Retail sale of sporting equipment in specialised stores,0.0295447974795986
E12000001 : North East,2015,4764,Retail sale of sporting equipment in specialised stores,0.0366514440442961
E12000001 : North East,2016,4764,Retail sale of sporting equipment in specialised stores,0.0411471553324112
E12000001 : North East,2017,4764,Retail sale of sporting equipment in specialised stores,0.0463001631758585
E12000001 : North East,2018,4764,Retail sale of sporting equipment in specialised stores,0.0528775736717447
E12000001 : North East,2019,4764,Retail sale of sporting equipment in specialised stores,0.056288183378587
E12000001 : North East,2020,4764,Retail sale of sporting equipment in specialised stores,0.0559429844035946
E12000001 : North East,2021,4764,Retail sale of sporting equipment in specialised stores,0.0567327178448093
E12000001 : North East,2022,4764,Retail sale of sporting equipment in specialised stores,0.0491842026608935
E12000001 : North East,2023,4764,Retail sale of sporting equipment in specialised stores,0.0192570801679521
E12000001 : North East,2024,4764,Retail sale of sporting equipment in specialised stores,0.0161129494468369
E12000001 : North East,2025,4764,Retail sale of sporting equipment in specialised stores,0.0143471150437238
E12000001 : North East,2010,4771,Retail sale of clothing in specialised stores,0.0543294045358686
E12000001 : North East,2011,4771,Retail sale of clothing in specialised stores,0.050858163063883
E12000001 : North East,2012,4771,Retail sale of clothing in specialised stores,0.0434359130767287
E12000001 : North East,2013,4771,Retail sale of clothing in specialised stores,0.0582012297852941
E12000001 : North East,2014,4771,Retail sale of clothing in specialised stores,0.0715333999477682
E12000001 : North East,2015,4771,Retail sale of clothing in specialised stores,0.0811986454594059
E12000001 : North East,2016,4771,Retail sale of clothing in specialised stores,0.085234666476022
E12000001 : North East,2017,4771,Retail sale of clothing in specialised stores,0.0847363477207972
E12000001 : North East,2018,4771,Retail sale of clothing in specialised stores,0.054973385580814
E12000001 : North East,2019,4771,Retail sale of clothing in specialised stores,0.0632774671708658
E12000001 : North East,2020,4771,Retail sale of clothing in specialised stores,0.0718634369901392
E12000001 : North East,2021,4771,Retail sale of clothing in specialised stores,0.0776987414992574
E12000001 : North East,2022,4771,Retail sale of clothing in specialised stores,0.0740020841243042
E12000001 : North East,2023,4771,Retail sale of clothing in specialised stores,0.0877822111122243
E12000001 : North East,2024,4771,Retail sale of clothing in specialised stores,0.0741650349128243
E12000001 : North East,2025,4771,Retail sale of clothing in specialised stores,0.0648050067037249
E12000001 : North East,2010,4773,Dispensing chemist in specialised stores,0.0548609428889826
E12000001 : North East,2011,4773,Dispensing chemist in specialised stores,0.0513557401028423
E12000001 : North East,2012,4773,Dispensing chemist in specialised stores,0.0527768813305357
E12000001 : North East,2013,4773,Dispensing chemist in specialised stores,0.0535707600046689
E12000001 : North East,2014,4773,Dispensing chemist in specialised stores,0.0544500946373341
E12000001 : North East,2015,4773,Dispensing chemist in specialised stores,0.0555606329941096
E12000001 : North East,2016,4773,Dispensing chemist in specialised stores,0.0488995995149069
E12000001 : North East,2017,4773,Dispensing chemist in specialised stores,0.0477656068465939
E12000001 : North East,2018,4773,Dispensing chemist in specialised stores,0.0482025698812508
E12000001 : North East,2019,4773,Dispensing chemist in specialised stores,0.0438208850627574
E12000001 : North East,2020,4773,Dispensing chemist in specialised stores,0.0422227794232621
E12000001 : North East,2021,4773,Dispensing chemist in specialised stores,0.0451263433161625
E12000001 : North East,2022,4773,Dispensing chemist in specialised stores,0.0488192385676088
E12000001 : North East,2023,4773,Dispensing chemist in specialised stores,0.0539676472296898
E12000001 : North East,2024,4773,Dispensing chemist in specialised stores,0.0412679150239761
