Year,Household final consumption expenditure :National concept CVM NAYear NSA £m,01 Food and non-alcoholic beverages CVM NAYear NSA £m,01.1 Food CVM NAYear NSA £m,03 Clothing and footwear CVM NAYear NSA £m,03.1 Clothing CVM NAYear NSA £m,06 Health CVM NAYear NSA £m,06.1 Medical products CVM NAYear NSA £m,06.2 Out-patient services CVM NAYear NSA £m,05.3 Household appliances CVM NAYear NSA £m,07.1 Purchase of vehicles CVM NAYear NSA £m,09 Recreation and culture CVM NAYear NSA £m,09.3.2 Other recreational goods Equipment for sport CVM NAYear NSA £m,09.4 Recreational and cultural services CVM NAYear NSA £m,11 Restaurants and hotels CVM NAYear NSA £m,11.1 Catering services CVM NAYear NSA £m,02.1 Alcoholic beverages (off trade) CVM NAYear NSA £m,12 Miscellaneous goods and services CVM NAYear NSA £m,12.1 Personal care CVM NAYear NSA £m,12.1.1 Hairdressing salons and personal grooming establishments CVM NAYear NSA £m,12.1.2 Electric appliances for personal care CVM NAYear NSA £m,12.1.3 Personal care Other appliances CVM NAYear NSA £m,12.3 Personal effects CVM NAYear NSA £m,12.3.1 Personal effects Jewellery CVM NAYear NSA £m
1985,686449,87674,81781,17092,14793,13914,3993,6034,3421,36400,28153,1096,23977,113983,104298,11245,59851,9896,7209,94,4794,4067,4138
1986,727133,91357,84337,18316,15972,14672,4260,6200,3829,40015,31018,1142,26179,118264,104488,11366,68324,10595,7588,98,5174,4114,4136
1987,765263,93948,86319,19270,16945,16014,4290,7276,4220,42147,34244,1246,27636,121154,106281,11803,76758,11321,7809,105,5621,4534,4525
1988,819586,96207,88681,20144,17993,16672,4473,7599,4614,48999,37802,1330,29785,132028,112816,12268,86718,12365,7794,132,6365,5208,5211
1989,850651,98471,90314,20258,18077,17448,4715,7651,4552,51480,40855,1458,31563,136798,115353,12469,94630,12785,7728,146,6688,5780,5887
1990,862650,98436,90010,20511,18265,17501,4670,7808,4567,46154,43210,1658,32267,139125,116680,12685,96617,12947,7798,146,6784,6027,6155
1991,855170,98967,90497,20596,18482,18030,4837,8334,4470,38470,42715,1689,30855,139138,117543,12329,94950,12947,7509,159,6880,6289,6503
1992,863546,100406,91800,21735,19366,17176,5109,7374,4303,37292,43753,1864,30228,140698,118542,12200,94897,13013,7391,182,6955,6127,6309
1993,888080,102831,93757,23368,21009,16575,5136,6886,4590,38597,45732,1945,31410,144975,120759,12442,99299,13443,7303,167,7331,6017,6173
1994,917100,104357,94556,25310,22784,18694,5664,7365,4793,39393,48849,2109,32915,145181,119059,13441,100462,14570,7242,185,8216,5943,6007
1995,936509,105043,95229,27406,24937,19163,5511,7545,5094,39116,53612,2431,38314,147889,119053,12921,101182,15316,7235,202,8795,6362,6396
1996,971534,108233,98449,29255,26759,19048,5551,7262,5448,43202,56338,2702,39184,149034,118832,14447,104903,16049,7295,220,9341,6682,6704
1997,1017854,107316,97592,31154,28567,19669,5663,7428,5865,47016,62518,3281,41790,152742,121100,15914,115162,16721,7548,241,9750,7420,7394
1998,1059254,110291,99897,33018,30312,19051,5424,7302,5935,48616,67877,3197,41887,154063,122899,16308,121653,17387,8018,229,10068,7756,7576
1999,1104548,112821,101402,35104,32325,18596,5809,6483,6084,51512,76221,3312,42954,154759,124987,17067,127857,18416,8315,271,10732,8329,8252
2000,1155881,113520,101554,38589,35863,18508,5972,6065,6839,54572,83485,3569,46735,158881,128132,17435,134786,19420,8579,320,11387,8560,8431
2001,1194415,113223,100393,41718,38556,21073,6676,7492,8278,62920,88758,3863,48106,157986,127695,17582,138509,20202,9142,302,11746,9458,8944
2002,1226503,115096,102456,46519,42790,22262,7490,7628,8126,62551,95318,3911,51771,159269,128260,18313,142276,21486,9039,385,12847,10138,9486
2003,1268258,120010,106453,49178,45233,22217,7525,7369,8276,63932,102177,3788,54920,163277,131944,19460,146757,23173,8662,559,14424,9703,8622
2004,1303476,123213,109045,50473,45939,22439,7242,8119,8455,62083,108872,3724,55984,168103,134432,19643,151308,25200,9031,798,15769,10444,9550
2005,1338472,124813,110124,52578,47659,22071,6258,8801,8842,60836,113096,3659,56364,169235,136245,20325,162558,24868,8963,620,15684,10376,9502
2006,1349155,125273,110659,54534,48579,19333,6190,6483,9490,61547,118635,4633,57179,168255,134401,20078,158449,25869,9063,510,16650,10692,9374
2007,1397444,124936,110575,55958,50086,25549,9358,8677,9281,63216,123464,4536,56844,168688,135457,21050,174164,26848,8753,557,17768,10317,9068
2008,1384614,122510,108070,59628,53260,24243,8507,8006,9215,60587,126465,4326,57164,164301,132448,21086,166534,25587,8613,408,16845,9814,8884
2009,1336656,119242,105038,61752,54370,23123,7512,7561,7605,57968,121960,4342,52910,151188,122234,20529,161892,24925,8645,295,16311,9283,8271
2010,1372907,118425,104965,62030,55032,25093,9399,7677,8301,53159,125166,5273,51796,152676,123101,20192,168519,25673,9152,414,16492,11723,8860
2011,1364172,118808,105660,63209,55750,24755,8719,8932,8723,50171,126650,5222,52968,153404,121996,20594,164175,24795,8626,619,15885,11878,8826
2012,1392361,119113,106351,65255,56617,28608,11827,9040,9555,52991,125220,5357,53634,155290,121663,20343,167697,25102,8648,738,16038,12294,9295
2013,1427390,119649,107093,68078,59048,30204,11659,9632,9572,61859,129886,4975,56032,161014,124056,21718,171144,26569,8751,1053,17031,12372,8599
2014,1471584,121304,108568,70020,60431,30732,12202,9965,10356,69327,133203,5278,59087,163909,126423,21547,187137,28793,9098,1052,18872,13678,10358
2015,1516223,123025,110557,73206,62886,31425,12307,10583,9865,72685,138980,5249,59793,167787,128288,22011,187349,31645,9363,1006,21443,15299,11890
2016,1572915,131956,118953,74520,64409,32782,12425,11558,9996,77513,139515,6456,57862,172517,131694,21884,198862,32372,9827,1247,21494,16645,13561
2017,1603724,135517,122034,75578,64701,33413,13370,11242,10196,74450,148879,7796,58595,177760,136414,23148,207506,35889,10186,1045,24825,14976,11113
2018,1631242,139276,125637,76290,64911,32736,13430,10503,12025,72755,148206,6592,58166,178269,136928,24333,210494,37672,10382,1212,26233,15107,11265
2019,1650664,139372,125470,79582,68164,32536,13725,9775,11832,74065,154313,10685,59851,177421,136448,23837,214973,38641,10461,1751,26572,14848,10894
2020,1441233,146077,131722,63534,54686,26183,12466,6172,13000,59206,134454,10501,44522,106826,86771,28942,195792,31166,5837,1336,24038,12244,9855
2021,1542035,146867,131406,72128,62355,30684,13392,8079,13971,56858,147108,11756,51773,143016,113671,28277,208848,34675,6470,1487,26768,13496,10915
2022,1657618,146444,130773,82400,70466,32914,14187,9193,14633,60085,160589,12254,59772,178582,137664,26300,217410,36496,7648,1471,27403,16917,12007
2023,1652281,139909,124710,79913,68302,31659,12183,9868,15429,64871,156163,10911,62272,175197,136450,27175,208630,36132,8624,1466,26042,14896,10307
2024,1650727,138368,123204,76391,64699,31313,11688,9758,16315,65261,158662,11353,62001,172827,134689,26976,209788,37553,9507,1554,26492,14827,10002
