Year,gdp_level,gdp_cycle_pct,hhfce_level,hhfce_cycle_pct,food_level,food_cycle_pct,clothing_level,clothing_cycle_pct,health_total_level,health_total_cycle_pct,med_products_level,med_products_cycle_pct,outpatient_level,outpatient_cycle_pct,appliances_level,appliances_cycle_pct,vehicles_level,vehicles_cycle_pct,recreation_all_level,recreation_all_cycle_pct,sport_equipment_level,sport_equipment_cycle_pct,recreation_svcs_level,recreation_svcs_cycle_pct,restaurants_level,restaurants_cycle_pct,alcohol_offtrade_level,alcohol_offtrade_cycle_pct,personal_care_level,personal_care_cycle_pct,hairdressing_level,hairdressing_cycle_pct,elec_appliances_level,elec_appliances_cycle_pct,cosmetics_level,cosmetics_cycle_pct,jewellery_level,jewellery_cycle_pct
1985,1283200.0,-2.419496643119423,686449,-3.7634751317357384,81781,-1.842985741307679,14793,-0.7894764473439508,13914,-5.884120535453086,3993,-2.0985873305864544,6034,-9.535396402732665,3421,-8.217953674292033,36400,-10.730373988071662,28153,-4.78202402862653,1096,3.0434710181611813,23977,-4.832095018113769,104298,-0.7606488857312854,11245,0.40084173322352257,9896,-3.870564373831975,7209,-4.221065084175812,94,-1.0704592410509584,4794,-3.9813782488431926,4138,-2.5190279926915693
1986,1323173.0,-1.79126237213314,727133,-1.3317382163169356,84337,-0.37568564095984414,15972,2.436758609420231,14672,-3.62303530620558,4260,1.2891780221233162,6200,-9.364833691367203,3829,-0.6376281231089465,40015,-2.366787721799213,31018,-1.586796038830407,1142,-1.0409585098676288,26179,-0.04437167532742592,104488,-2.3608739576907567,11366,-0.41636211932978284,10595,-1.267802116598915,7588,0.8040199740563025,98,-5.2825008107650895,5174,-2.2060867033593112,4136,-8.541067568276972
1987,1395353.0,1.1050776639356386,765263,0.49090238596036784,86319,0.3553767290103593,16945,3.916140687373648,16014,2.144594740762784,4290,-1.0729467060166087,7276,4.190364713090489,4220,5.480945870124465,42147,1.8264537385835666,34244,1.8592447361601927,1246,-0.5514841057340014,27636,1.421590901215808,106281,-2.4340673635556698,11803,1.4648692216184145,11321,1.1762317589344207,7809,3.6184212788745285,105,-6.751820279431087,5621,0.26727387505811606,4525,-5.500728657637666
1988,1471002.0,4.035878408921256,819586,4.149090666387778,88681,1.5037423097515656,17993,5.474381953511731,16672,3.3406277299183884,4473,0.06951041744596154,7599,6.370262425209283,4614,10.973112833162268,48999,16.130696404232303,37802,5.407489817665656,1330,-2.3041482631707133,29785,5.05703234314705,112816,1.7972954819857279,12268,3.433568972399925,12365,5.903682593277537,7794,3.44604664845658,132,7.837964539020081,6365,6.986437658818012,5211,2.801977371479758
1989,1506644.0,4.178487343714288,850651,4.804192427367582,90314,1.8364474961369837,18077,1.4331739651035846,17448,5.286902834636997,4715,2.35157107983337,7651,5.3200450091337,4552,6.390912047071673,51480,20.661632585304623,40855,6.993994809381299,1458,-1.4571655914597414,31563,7.133607856061808,115353,2.379753555474551,12469,3.1450028170878497,12785,5.280065572810599,7728,2.6898991340656764,146,9.829344023022557,6688,6.386091363718194,5887,9.48813841270404
1990,1515202.0,2.5814779794348652,862650,3.278926800256876,90010,0.07014393598030466,18265,-2.213761393757885,17501,3.2547986404743767,4670,-1.5282798792096486,7808,6.133957771292664,4567,3.6190382365482776,46154,9.634626855302741,43210,6.5656784054317185,1658,2.9993513369475977,32267,5.733681201669505,116680,2.0141055764085536,12685,2.881591909300596,12947,2.685622186037584,7798,3.7237750974068007,146,1.9982037489896243,6784,2.4111108389986313,6155,8.867634947245051
1991,1493903.0,-0.9606316060809306,855170,-0.4222338882724941,90497,-0.7713197732490684,18482,-6.013559177565853,18030,4.152404640811547,4837,-0.874939454113921,8334,11.981136364090261,4470,-1.6400288141968034,38470,-8.634728799786018,42715,-0.5503860868110166,1689,-3.579652002219813,30855,-2.3185614884580374,117543,1.3872961926212568,12329,-2.0933352048116305,12947,-1.129891391084037,7509,0.05395264403311728,159,2.9091463979987076,6880,-1.5081921133672793,6503,9.776888478351964
1992,1498023.0,-2.851603687155624,863546,-2.258415549974835,91800,-0.690210691182358,19366,-6.724125205983533,17176,-2.570378196041112,5109,1.806278677394424,7374,-0.4155742213390212,4303,-8.747360000600857,37292,-12.10797819259195,43753,-4.189136637821456,1864,-2.1925323338868097,30228,-8.06563749402578,118542,1.0092796419606032,12200,-5.530040228668831,13013,-4.497922609615834,7391,-1.5493876744923085,182,8.947297033528034,6955,-5.7713830586196835,6309,2.593340499970509
1993,1532082.0,-2.877074608648833,888080,-2.32046306216116,93757,0.09559034271795497,21009,-4.407970068602651,16575,-7.879327214120657,5136,-0.3671300278401901,6886,-7.058007809837186,4590,-5.937503888754492,38597,-9.6012771988498,45732,-6.020023673466923,1945,-6.421815292471944,31410,-8.161878530773059,120759,1.7570639878222494,12442,-6.295441887248643,13443,-5.272229587727573,7303,-2.9938259528419664,167,-7.074069514328585,7331,-5.960163217331704,6173,-3.448801710775662
1994,1584459.0,-1.935143822537455,917100,-2.07062350768048,94556,-0.3554260294425404,22784,-2.543753964605955,18694,2.4663549469650548,5664,6.807720025269859,7365,0.08756813903989524,4793,-5.676130772001642,39393,-9.206537391909464,48849,-5.993278698385929,2109,-6.770121568469456,32915,-7.692470067907209,119059,-0.6770264515509439,13441,-1.6794172373867156,14570,-1.438454631809094,7242,-4.392161439196052,185,-4.390100315863865,8216,-0.14922131734085298,6007,-9.915352417624312
1995,1622576.0,-2.1335715884939432,936509,-3.07037487781745,95229,-0.9236256888142336,24937,-0.11150857619703913,19163,3.339146998314746,5511,1.5525857428491108,7545,3.062807825023306,5094,-4.083932556634373,39116,-12.320679697582904,53612,-3.605298683255498,2431,-0.8501812452532675,38314,3.0473757512739397,119053,-1.657442717300306,12921,-9.079646229988647,15316,-0.8435808006403533,7235,-5.417037477782216,202,-3.3967291960782298,8795,0.9759987033701734,6396,-7.394087936956595
1996,1665005.0,-2.2745575139776264,971534,-2.6266194982774493,98449,1.148286817688593,26759,0.08685008003972428,19048,1.205202110583059,5551,-0.21072564421480422,7262,-0.13670585883893693,5448,-2.252185716248789,43202,-5.511574127134722,56338,-5.887736965854984,2702,1.767144325851877,39184,0.7235034954970132,118832,-2.8187969505454546,14447,-1.6715954946986855,16049,-0.7245177039177264,7295,-5.899739503185408,220,-2.97367451408741,9341,1.250918349969865,6704,-6.493298036704154
1997,1746257.0,-0.3481963581894121,1017854,-1.3058302331236504,97592,-0.9446209561358998,28567,-0.3893402838432536,19669,2.9141263322427946,5663,-0.7488197096478189,7428,2.702008912122622,5865,-0.06708645660857826,47016,-0.728647777364877,62518,-2.988429235889001,3281,13.759679497444832,41790,2.560049310899437,121100,-1.9284759470052037,15914,4.081501695503498,16721,-1.3029900974910191,7548,-4.137018837995754,241,-2.320342877857051,9750,-0.24956642736153611,7394,-0.510201848906533
1998,1802946.0,-0.054319649041545404,1059254,-0.7131462188079141,99897,0.20559886461484211,30312,-1.5408102706990334,19051,-1.797091260878858,5424,-7.722901856074138,7302,1.4185038471469014,5935,-4.2671564591566735,48616,-1.3878785853181697,67877,-2.422636414858381,3197,4.44521833392475,41887,-1.7635622888706237,122899,-1.475204204312064,16308,2.600500677363371,17387,-2.162189319713903,8018,0.020327295553457247,229,-16.247945832282085,10068,-2.850791417294296,7576,-1.800048636646956
1999,1856033.0,-0.05889847933833181,1104548,0.08690142813119195,101402,0.5600661742203528,32325,-2.1595325231089646,18596,-5.834224591297321,5809,-3.7236205573190517,6483,-10.335279988340318,6084,-7.262420945613002,51512,0.2936675214259665,76221,1.5113652000410482,3312,1.9963598315097641,42954,-3.702353965555716,124987,-0.810025032400219,17067,3.32801745984721,18416,-1.208976714057819,8315,1.6803171622003177,271,-8.56749953363618,10732,-2.2840507285943445,8252,3.2252820567935103
2000,1940007.0,1.51138442331753,1155881,1.3211498052617898,101554,-0.380764656780741,35863,1.3245794645134978,18508,-8.092920904446999,5972,-4.003158204119472,6065,-17.28963896183,6839,-0.9769502408039088,54572,2.1040886000148973,83485,3.124883510316856,3569,4.216545053513876,46735,0.4530410397846296,128132,0.695116572436838,17435,1.832380330051997,19420,-0.6540174672087673,8579,2.8773320819952986,320,-1.2657860808552357,11387,-2.145204549348456,8431,2.1753176274192043
2001,1986393.0,1.1293610822326272,1194415,1.4415051982169302,100393,-2.569683121747701,38556,1.944237031124807,21073,2.931990474216839,6676,3.949709591710082,7492,3.074615630232813,8278,12.992201650289736,62920,12.76317471048145,88758,2.08744247216206,3863,7.580501310763488,48106,-0.6542689538756363,127695,-0.5412040986996658,17582,-0.7099963329668668,20202,-1.32977878577627,9142,7.47925020743061,302,-16.267424702370192,11746,-4.725081251936736,8944,5.30556953906256
2002,2020341.0,0.23179049142729724,1226503,1.1404574934948286,102456,-1.5180751253204505,42790,6.146328313927896,22262,6.372888708203384,7490,12.204623499290257,7628,3.7600311059115654,8126,6.530738967953376,62551,9.204177959693105,95318,2.5088614221756345,3911,4.8941256706095615,51771,3.076195422149297,128260,-0.8702759953711947,18313,0.26451328845382704,21486,0.43174154060228176,9039,4.863229606556807,385,-0.8135808071658701,12847,-1.2594808993934947,9486,8.903863128823275
2003,2085366.0,0.9918200135857091,1268258,1.786105885132372,106453,1.4138533524603147,45233,5.987898881866371,22217,4.075115681342822,7525,9.406784653683076,7369,-1.0576748798307278,8276,4.373365487330183,63932,9.113384617293363,102177,3.306328212228671,3788,-1.7384145300937348,54920,5.866939327263587,131944,1.3593464733677507,19460,3.5664628375762675,23173,3.919565892858401,8662,-0.5865428280266372,559,28.47456223857563,14424,5.149973413226583,8622,-2.4209815189214723
2004,2133872.0,1.0971153862739058,1303476,2.1047675658193654,109045,3.0578489757756344,45939,2.3737890149282848,22439,2.9092118516189203,7242,2.2186290006622755,8119,7.082062740764172,8455,3.186245295920287,62083,4.600047906974858,108872,4.139062176095543,3724,-6.590558958077963,55984,5.2499264100392296,134432,2.8465523842129414,19643,2.095855733302443,25200,8.666314224088545,9031,2.6627336951326797,798,57.34232056178534,15769,9.369782954200723,9550,6.466690770395012
2005,2193421.0,1.8885459182406805,1338472,2.6293717573025788,110124,3.445980844269414,47659,1.4158833432704299,22071,-1.027345720552475,6258,-16.001507423974815,8801,13.476633805129268,8842,4.988401662955688,60836,1.5971086521268774,113096,3.115619421720517,3659,-11.388643043633273,56364,3.9903230710747195,136245,4.065946316203473,20325,3.4735151427785382,24868,4.19621820662428,8963,1.2308674657315777,620,26.813825406430958,15684,4.703901562155188,9502,5.02223992002957
2006,2241453.0,2.33525223750064,1349155,1.5878874151592726,110659,3.5005773707599275,48579,-0.8187961510781605,19333,-16.765311807424155,6190,-21.165221998457007,6483,-18.88123602603713,9490,10.003383718833625,61547,2.2524653179198495,118635,3.7564682261958637,4633,9.174464697851548,57179,4.058747233256099,134401,2.8545662352907897,20078,0.57042509322347,25869,5.4700754721134,9063,1.8635213195400624,510,3.0227688036686295,16650,7.128403315396348,9374,3.008992700840274
2007,2307148.0,3.7356012640788805,1397444,3.5228994512758405,110575,3.1278523049987683,50086,-1.4799562397065813,25549,8.333545207638338,9358,15.605531213155821,8677,8.225265235271983,9281,6.24698178045513,63216,4.735497894169427,123464,4.268978763948006,4536,4.020901638862107,56844,2.6020796577402194,135457,4.030270300642869,21050,3.921699800787515,26848,6.91800306417516,8753,-1.9540587394425657,557,7.930133395038919,17768,10.603749644012694,9068,-0.8441055569166522
2008,2306008.0,2.394981183044287,1384614,1.2243830995199545,108070,0.6046237538539501,53260,1.3304815448437424,24243,0.11095887616932032,8507,1.2032838421259129,8006,-2.064872183102473,9215,4.344219240945257,60587,0.43332180072361837,126465,3.793082675607451,4326,-3.846187924827227,57164,2.681126798159461,132448,2.360360225095093,21086,2.9637113580740504,25587,0.1261954301787327,8613,-3.8421644194661653,408,-27.463200436103108,16845,2.659165820123377,8884,-3.4965678612072892
2009,2200222.0,-3.466111958776885,1336656,-3.5559878431758563,105038,-2.507261561064489,54370,0.4079463928816196,23123,-7.783092766970512,7512,-16.39006988683729,7561,-10.252372527376252,7605,-15.95734994234057,57968,-4.125140680448602,121960,-2.218052131133774,4342,-6.823206695393935,52910,-5.28503116713086,122234,-5.003612947059821,20529,-0.6906320256902632,24925,-4.380119874124233,8645,-3.7441887920307337,295,-65.29818629509947,16311,-2.980264613106698,8271,-11.4993764428867
2010,2249959.0,-2.3649239143304968,1372907,-2.1113876374482032,104965,-2.982953047828296,55032,-1.0650954229207699,25093,-2.953139455923548,9399,0.5894488022757827,7677,-11.433055130836323,8301,-8.50268925171509,53159,-13.237665136682075,125166,-1.6576887441537735,5273,8.94605256841654,51796,-7.5607773827455205,123101,-3.672924807306188,20192,-3.296986205934438,25673,-3.402870034108041,9152,1.6647260165679967,414,-38.469409692907064,16492,-4.350685898101325,8860,-5.871599165159402
2011,2269116.0,-2.680788845621329,1364172,-4.01831265320709,105660,-2.949622909768479,55750,-2.2010104166877653,24755,-7.753372998474717,8719,-12.452682835874107,8932,0.8654338566529418,8723,-5.183813974753271,50171,-19.97374329398731,126650,-2.285915786546333,5222,3.9825604870324938,52968,-5.497269727244003,121996,-4.060329022249398,20594,-2.3692750038771138,24795,-9.103762904608104,8626,-4.544758831088913,619,-6.819468504241755,15885,-10.848884781923296,8826,-7.938161611343553
2012,2303794.0,-2.3941104413808034,1392361,-3.319134339502483,106351,-3.1954585563115145,56617,-2.8791028278327246,28608,3.2842185571650973,11827,12.570021333866066,9040,-0.705386380178652,9555,1.8999415936919561,52991,-16.009114937928892,125220,-5.106152610945713,5357,2.0960312339514786,53634,-4.483675901504824,121663,-3.9644508276133195,20343,-4.81725876015151,25102,-10.448704935134678,8648,-4.5798985800891145,738,1.202166078994793,16038,-13.087411742877109,9295,-4.847294505203692
2013,2343384.0,-1.9965863876985068,1427390,-2.2580956664539187,107093,-3.690097906549994,59048,-0.7035513019879147,30204,5.491761383628635,11659,6.033979765268782,9632,3.135775805900032,9572,-0.3324067211504911,61859,-2.446410667465848,129886,-3.092725708782851,4975,-10.34075122823399,56032,-0.3883336498047285,124056,-1.7873597253013074,21718,0.2615072272552865,26569,-7.72066122636641,8751,-3.6392580726628765,1053,26.790848637766107,17031,-10.7922023014968,8599,-15.015920948283501
2014,2417439.0,-0.2540516306517304,1471584,-0.6768528967626253,108568,-3.7934940110028847,60431,-0.21369524506411608,30732,4.36897493935966,12202,6.008073438205841,9965,4.511061501674085,10356,4.729955042688161,69327,6.939360231148939,133203,-2.2078798302906932,5278,-10.241159602027494,59087,4.663193778811703,126423,0.23680060841346773,21547,-2.244400533770907,28793,-2.9272365119414445,9098,0.14439830369106232,1052,16.92612963739748,18872,-4.690490566254191,10358,1.0649435583934164
2015,2469182.0,0.466555091339238,1516223,0.8549866395489047,110557,-3.6830274752118086,62886,2.1640575952552865,31425,4.212062564046981,12307,2.921197369719941,10583,9.159463357161712,9865,-3.3501533979801934,72685,9.886822766131331,138980,0.40850628184490034,5249,-17.44867344858907,59793,5.683003864721137,128288,1.8028635451017294,22011,-2.0993520041033165,31645,3.138531969709568,9363,3.1770756987709703,1006,3.1861335123987367,21443,3.640791646186159,11890,12.487639665503458
2016,2523665.0,1.2598345833657376,1572915,3.143362129309679,118953,1.7836827040310865,64409,3.1933398921932366,32782,6.581562210049086,12425,0.6130039488944306,11558,17.390005364964622,9996,-5.726739484984478,77513,15.025592983774061,139515,-0.8072400408257963,6456,-4.219794250019682,57862,2.3429072916517413,131694,4.552623262350686,21884,-4.927546126750393,32372,2.0862858151172503,9827,8.568786135565531,1247,16.03839129008584,21494,-0.6206898890905421,13561,23.7193728645007
2017,2599961.0,2.888753311002823,1603724,3.828707004037568,122034,2.462249113691861,64701,2.520777490262205,33413,7.1764685562135,13370,5.379859926793706,11242,14.861529641562399,10196,-7.941089730226558,74450,10.353934327910252,148879,4.135688921969383,7796,6.56676021423781,58595,3.619555854610468,136414,8.273442054441027,23148,-1.7987607035401254,35889,9.289511215498258,10186,13.20011944449675,1045,-9.499684879326953,24825,9.41264862785367,11113,2.514372192021419
2018,2640295.0,3.1375956394839477,1631242,4.426158937123503,125637,3.5725041246516653,64911,1.9249313909018184,32736,4.316175781532294,13430,3.9747946094689013,10503,8.997387541088209,12025,3.89372192559847,72755,8.075342137749253,148206,2.201621181712632,6592,-18.638513809531077,58166,2.9186975436433116,136928,8.915806140457327,24333,0.5466877491320687,37672,11.377683948813377,10382,16.647019710424082,1212,-1.8297493812513999,26233,10.868859289851862,11265,3.129140845652323
