series_key,label,avg_cycle_recession,avg_cycle_non_recession,difference,n_recession_years
elec_appliances,12.1.2 Electric Appliances (personal care),-18.3833,2.6262,-21.0095,5
hairdressing,12.1.1 Hairdressing,-8.1659,1.1666,-9.3324,5
restaurants,11.1 Restaurants/Catering,-7.1289,1.0184,-8.1473,5
outpatient,06.2 Out-patient Services,-7.1287,1.0184,-8.1471,5
recreation_svcs,09.4 Recreational & Cultural Services,-4.659,0.6656,-5.3246,5
clothing,03.1 Clothing,-4.637,0.6624,-5.2994,5
med_products,06.1 Medical Products,-4.5692,0.6527,-5.222,5
health_total,06 Health (total),-3.7879,0.5411,-4.3291,5
personal_care,12.1 Personal Care (total),-2.9376,0.4197,-3.3573,5
vehicles,07.1 Vehicle Purchases (big durable),-2.726,0.3894,-3.1154,5
appliances,05.3 Household Appliances (big durable),-1.6558,0.2365,-1.8924,5
jewellery,12.3.1 Jewellery (big luxury),-1.3657,0.1951,-1.5609,5
cosmetics,12.1.3 Other Personal Care (cosmetics proxy),-0.839,0.1199,-0.9588,5
recreation_all,09 Recreation & Culture,-0.5553,0.0793,-0.6347,5
sport_equipment,09.3.2 Sport Equipment,-0.0673,0.0096,-0.0769,5
food,01.1 Food (necessity),0.5242,-0.0749,0.5991,5
alcohol_offtrade,02.1 Alcohol Off-Trade,3.11,-0.4443,3.5543,5
